Name,Platform,Year_of_Release,Publisher
Dungeon Siege III,X360,2011,Square Enix
Scribblenauts: Unlimited,WiiU,2012,Warner Bros. Interactive Entertainment
Green Day: Rock Band,Wii,2010,MTV Games
Star Fox: Zero,WiiU,2016,Nintendo
Sword Art Online: Lost Song,PSV,2015,Namco Bandai Games
Spider-Man: Shattered Dimensions,X360,2010,Activision
Fossil Fighters: Frontier,3DS,2014,Nintendo
ESPN: Sports Connection,WiiU,2012,Ubisoft
Dragon's Crown,PSV,2013,Nippon Ichi Software
Wipeout 2048,PSV,2012,Sony Computer Entertainment
Earth Defense Force 2025,PS3,2013,D3Publisher
Middle-Earth: Shadow of Mordor,PC,2014,Warner Bros. Interactive Entertainment
Tiger Woods PGA Tour 14,X360,2013,Electronic Arts
Dark Void,PS3,2010,Capcom
Assassin's Creed III,WiiU,2012,Ubisoft
Toukiden: The Age of Demons,PSV,2013,Tecmo Koei
EA Sports MMA,X360,2010,Electronic Arts
Defiance,PS3,2013,Trion Worlds
Tiger Woods PGA Tour 12: The Masters,Wii,2011,Electronic Arts
Call of Duty: Ghosts,WiiU,2013,Activision
Transformers: Dark of the Moon,PS3,2011,Activision
WWE '12,Wii,2011,THQ
WWE All Stars,X360,2011,THQ
Tekken Tag Tournament 2,X360,2012,Namco Bandai Games
Supreme Commander 2,X360,2010,Square Enix
Racquet Sports,PS3,2010,Ubisoft
Naruto Shippuden: Ultimate Ninja Impact,PSP,2011,Namco Bandai Games
Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011,Ubisoft
The Shoot,PS3,2010,Sony Computer Entertainment
Harry Potter and the Deathly Hallows - Part 2,X360,2011,Electronic Arts
The King of Fighters XIII,X360,2011,Rising Star Games
LEGO Batman 2: DC Super Heroes,PSV,2012,Warner Bros. Interactive Entertainment
Cabela's Dangerous Hunts 2011,PS3,2010,Activision
Dragon Ball Z: Extreme Butoden,3DS,2015,Namco Bandai Games
