Name,Platform,Year_of_Release,Publisher
Diablo III,PC,2012,Activision
Fable III,X360,2010,Microsoft Game Studios
FIFA Soccer 11,PS3,2010,Electronic Arts
StarCraft II: Wings of Liberty,PC,2010,Activision
Batman: Arkham City,X360,2011,Warner Bros. Interactive Entertainment
Luigi's Mansion: Dark Moon,3DS,2013,Nintendo
Forza Motorsport 4,X360,2011,Microsoft Game Studios
Splatoon,WiiU,2015,Nintendo
Nintendo Land,WiiU,2012,Nintendo
Michael Jackson: The Experience,Wii,2010,Ubisoft
Super Mario 3D World,WiiU,2013,Nintendo
Assassin's Creed: Revelations,PS3,2011,Ubisoft
FIFA 14,X360,2013,Electronic Arts
Fallout: New Vegas,X360,2010,Bethesda Softworks
The Legend of Zelda: Skyward Sword,Wii,2011,Nintendo
Monster Hunter 4 Ultimate,3DS,2014,Nintendo
Sports Champions,PS3,2010,Sony Computer Entertainment
FIFA Soccer 11,X360,2010,Electronic Arts
Assassin's Creed: Brotherhood,X360,2010,Ubisoft
Battlefield 4,X360,2013,Electronic Arts
Battlefield: Bad Company 2,X360,2010,Electronic Arts
LittleBigPlanet 2,PS3,2011,Sony Computer Entertainment
Assassin's Creed IV: Black Flag,X360,2013,Ubisoft
Super Mario Maker,WiiU,2015,Nintendo
Dance Central,X360,2010,MTV Games
L.A. Noire,PS3,2011,Take-Two Interactive
Mario Party 9,Wii,2012,Nintendo
The Legend of Zelda: A Link Between Worlds,3DS,2013,Nintendo
Mass Effect 2,X360,2010,Electronic Arts
Animal Crossing: Happy Home Designer,3DS,2015,Nintendo
Borderlands 2,X360,2012,Take-Two Interactive
Mass Effect 3,X360,2012,Electronic Arts
Heavy Rain,PS3,2010,Sony Computer Entertainment
Far Cry 3,X360,2012,Ubisoft
