Name,Platform,Year_of_Release,Publisher
DarkStar One: Broken Alliance,X360,2010,Kalypso Media
Two Worlds II,PC,2011,Unknown
Tekken 3D: Prime Edition,3DS,2012,Nintendo
Front Mission Evolved,X360,2010,Square Enix
Apache: Air Assault,PS3,2010,Activision
Zone of the Enders HD Collection,X360,2012,Konami Digital Entertainment
Earth Defense Force: Insect Armageddon,PS3,2011,D3Publisher
Dungeon Hunter Alliance,PSV,2012,Ubisoft
Silent Hill: Book of Memories,PSV,2012,Konami Digital Entertainment
Plants vs. Zombies,PS3,2011,PopCap Games
Arcana Heart 3,PS3,2011,PQube
Solatorobo: Red the Hunter,DS,2010,Nintendo
Castlevania: Lords of Shadow 2,PS3,2014,Konami Digital Entertainment
Major League Baseball 2K12,PS3,2012,Take-Two Interactive
UFC Personal Trainer: The Ultimate Fitness System,PS3,2011,THQ
No More Heroes: Heroes' Paradise,PS3,2010,Konami Digital Entertainment
Captain America: Super Soldier,PS3,2011,Sega
DanceMasters,X360,2010,Konami Digital Entertainment
LEGO Marvel's Avengers,3DS,2016,Warner Bros. Interactive Entertainment
Shrek: Forever After,PS3,2010,Activision
Need for Speed: The Run,3DS,2011,Electronic Arts
Quantum Theory,PS3,2010,Tecmo Koei
Guitar Hero Live,WiiU,2015,Activision
SpongeBob SquigglePants 3D,3DS,2011,THQ
Majin and the Forsaken Kingdom,X360,2010,Namco Bandai Games
Silent Hill HD Collection,X360,2012,Konami Digital Entertainment
South Park: The Stick of Truth,PC,2014,Ubisoft
MLB 12: The Show,PSV,2012,Sony Computer Entertainment
WWE All Stars,Wii,2011,THQ
Spider-Man: Shattered Dimensions,DS,2010,Activision
Dante's Inferno,PSP,2010,Electronic Arts
Injustice: Gods Among Us,WiiU,2013,Warner Bros. Interactive Entertainment
Metro: Last Light,PC,2013,Deep Silver
Evolve,PC,2015,Take-Two Interactive
