Name,Platform,Year_of_Release,Publisher
Goldeneye 007: Reloaded,PS3,2011,Activision
Rayman Origins,X360,2011,Ubisoft
Resident Evil: Operation Raccoon City,X360,2012,Capcom
UFC Personal Trainer: The Ultimate Fitness System,X360,2011,THQ
Bayonetta 2,WiiU,2014,Nintendo
The Sims 3,3DS,2011,Electronic Arts
Duke Nukem Forever,PS3,2011,Take-Two Interactive
Star Wars: The Force Unleashed II,Wii,2010,LucasArts
Professor Layton and the Azran Legacy,3DS,2013,Nintendo
PokePark 2: Wonders Beyond,Wii,2011,Nintendo
DJ Hero 2,PS3,2010,Activision
LEGO Batman 2: DC Super Heroes,3DS,2012,Warner Bros. Interactive Entertainment
SoulCalibur V,PS3,2012,Namco Bandai Games
Raving Rabbids: Travel in Time,Wii,2010,Ubisoft
Dark Souls II,X360,2014,Namco Bandai Games
[Prototype 2],PS3,2012,Activision
Resident Evil: Revelations,PS3,2013,Capcom
Ace Combat: Assault Horizon,PS3,2011,Namco Bandai Games
LEGO Marvel Super Heroes,WiiU,2013,Warner Bros. Interactive Entertainment
Resonance of Fate,PS3,2010,Sega
Style Savvy: Trendsetters,3DS,2012,Nintendo
Final Fantasy XIII-2,X360,2011,Square Enix
Persona 4: Arena,PS3,2012,Atlus
Brink,PS3,2011,Bethesda Softworks
NHL 11,X360,2010,Electronic Arts
Just Dance 2015,WiiU,2014,Ubisoft
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012,Namco Bandai Games
Monopoly Streets,Wii,2010,Electronic Arts
Persona Q: Shadow of the Labyrinth,3DS,2014,Nippon Ichi Software
Borderlands: The Pre-Sequel,X360,2014,Take-Two Interactive
F1 2011,X360,2011,Codemasters
Blur,PS3,2010,Activision
DiRT 3,X360,2011,Codemasters
XCOM: Enemy Unknown,PC,2012,Take-Two Interactive
