Name,Platform,Year_of_Release,Publisher
Atelier Totori: The Adventurer of Arland,PS3,2010,Nippon Ichi Software
Batman: Arkham Origins Blackgate,PSV,2013,Warner Bros. Interactive Entertainment
2010 FIFA World Cup South Africa,Wii,2010,Electronic Arts
How to Train Your Dragon,Wii,2010,Activision
Story of Seasons,3DS,2014,Nintendo
Spec Ops: The Line,X360,2012,Take-Two Interactive
Paper Mario: Color Splash,WiiU,2016,Nintendo
Vanquish,X360,2010,Sega
TRON: Evolution,PS3,2010,Disney Interactive Studios
Attack on Titan: Humanity in Chains,3DS,2013,Screenlife
Animal Crossing: Amiibo Festival,WiiU,2015,Nintendo
Tom Clancy's HAWX 2,PS3,2010,Ubisoft
Terraria,PS3,2013,505 Games
Football Manager Handheld 2011,PSP,2010,Sega
Green Day: Rock Band,PS3,2010,MTV Games
Call of Duty: Black Ops II,WiiU,2012,Activision
Top Spin 4,X360,2011,Take-Two Interactive
Call of Duty: Advanced Warfare,PC,2014,Activision
WWE All Stars,PS3,2011,THQ
Green Day: Rock Band,X360,2010,MTV Games
Harry Potter and the Deathly Hallows - Part 1,DS,2010,Electronic Arts
Resistance: Burning Skies,PSV,2012,Sony Computer Entertainment
Fantastic Pets,X360,2011,THQ
BlazBlue: Continuum Shift,PS3,2010,PQube
Duke Nukem Forever,PC,2011,Take-Two Interactive
Naughty Bear,X360,2010,505 Games
NBA Jam,Wii,2010,Electronic Arts
The Wonderful 101,WiiU,2013,Nintendo
Asura's Wrath,PS3,2012,Capcom
Ragnarok Odyssey,PSV,2012,GungHo
The Gunstringer,X360,2011,Microsoft Game Studios
LEGO The Lord of the Rings,3DS,2012,Warner Bros. Interactive Entertainment
No More Heroes 2: Desperate Struggle,Wii,2010,Rising Star Games
Fishing Resort,Wii,2011,Namco Bandai Games
