Name,Platform,Year_of_Release,Publisher
Resident Evil: Revelations,WiiU,2013,Capcom
Street Fighter X Tekken,PSV,2012,Capcom
The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Nippon Ichi Software
Tom Clancy's Splinter Cell: Blacklist,PC,2013,Ubisoft
Shaun White Skateboarding,PS3,2010,Ubisoft
Binary Domain,X360,2012,Sega
Earth Defense Force: Insect Armageddon,X360,2011,D3Publisher
Major League Baseball 2K10,PS3,2010,Take-Two Interactive
Warriors: Legends of Troy,PS3,2011,Tecmo Koei
SBK X: Superbike World Championship,X360,2010,Black Bean Games
Fairy Fencer F,PS3,2013,Nippon Ichi Software
Shadows of the Damned,X360,2011,Electronic Arts
Heavy Fire: Afghanistan,PS3,2011,Unknown
Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Tecmo Koei
CSI: Fatal Conspiracy,PS3,2010,Ubisoft
Syndicate,X360,2012,Electronic Arts
Zumba Fitness Rush,X360,2012,505 Games
Corpse Party: Blood Drive,PSV,2014,Marvelous Interactive
The Last Airbender,DS,2010,THQ
WWE All Stars,PSP,2011,THQ
Valhalla Knights 3,PSV,2013,Xseed Games
Senran Kagura: Estival Versus,PSV,2015,Marvelous Interactive
GRID Autosport,PS3,2014,Codemasters
World of Outlaws: Sprint Cars,X360,2010,THQ
Grand Slam Tennis 2,X360,2012,Electronic Arts
Ben 10 Ultimate Alien: Cosmic Destruction,X360,2010,D3Publisher
Pure Futbol,X360,2010,Ubisoft
de Blob 2,Wii,2011,THQ
Remember Me,X360,2013,Capcom
Splatterhouse,X360,2010,Namco Bandai Games
You Don't Know Jack,PS3,2011,THQ
DiRT Showdown,PS3,2012,Codemasters
How to Train Your Dragon,PS3,2010,Activision
Dynasty Warriors: Gundam 3,X360,2010,Tecmo Koei
