Name,Platform,Year_of_Release,Publisher
Epic Mickey,Wii,2010,Disney Interactive Studios
NBA 2K13,X360,2012,Take-Two Interactive
Battlefield: Bad Company 2,PS3,2010,Electronic Arts
Madden NFL 13,X360,2012,Electronic Arts
Assassin's Creed: Brotherhood,PS3,2010,Ubisoft
Medal of Honor,PS3,2010,Electronic Arts
Skylanders: Spyro's Adventure,Wii,2011,Activision
Killzone 3,PS3,2011,Sony Computer Entertainment
Saints Row: The Third,X360,2011,THQ
L.A. Noire,X360,2011,Take-Two Interactive
Madden NFL 12,X360,2011,Electronic Arts
Madden NFL 11,X360,2010,Electronic Arts
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Nintendo
Skate 3,X360,2010,Electronic Arts
NBA 2K12,X360,2011,Take-Two Interactive
Medal of Honor,X360,2010,Electronic Arts
Madden NFL 13,PS3,2012,Electronic Arts
Art Academy,DS,2010,Nintendo
NBA 2K14,X360,2013,Take-Two Interactive
Skylanders Giants,Wii,2012,Activision
Bloodborne,PS4,2015,Sony Computer Entertainment
LEGO Harry Potter: Years 1-4,Wii,2010,Warner Bros. Interactive Entertainment
pro evolution soccer 2011,PS3,2010,Konami Digital Entertainment
Halo: Combat Evolved Anniversary,X360,2011,Microsoft Game Studios
Madden NFL 11,PS3,2010,Electronic Arts
Dead Island,X360,2011,Deep Silver
Zumba Fitness,X360,2010,505 Games
Kinect: Disneyland Adventures,X360,2011,Microsoft Game Studios
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Nintendo
Kinect Sports: Season Two,X360,2011,Microsoft Game Studios
Paper Mario: Sticker Star,3DS,2012,Nintendo
Batman: Arkham Origins,PS3,2013,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,DS,2010,Warner Bros. Interactive Entertainment
The Sims 3,X360,2010,Electronic Arts
