Name,Platform,Year_of_Release,Publisher
Your Shape: Fitness Evolved,X360,2010,Ubisoft
Yoshi's Woolly World,WiiU,2015,Nintendo
Skylanders Giants,X360,2012,Activision
Pokemon Ranger: Guardian Signs,DS,2010,Nintendo
Crysis 2,PS3,2011,Electronic Arts
Sonic Colors,DS,2010,Sega
Assassin's Creed: Rogue,PS3,2014,Ubisoft
The LEGO Movie Videogame,X360,2014,Warner Bros. Interactive Entertainment
Kid Icarus: Uprising,3DS,2012,Nintendo
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Nintendo
WWE '12,X360,2011,THQ
WWE '13,X360,2012,THQ
Final Fantasy X / X-2 HD Remaster,PS3,2013,Square Enix
EA Sports Active 2,Wii,2010,Electronic Arts
Saints Row IV,PS3,2013,Deep Silver
LittleBigPlanet PS Vita,PSV,2012,Sony Computer Entertainment
Pokemon Super Mystery Dungeon,3DS,2015,Nintendo
FIFA Street,PS3,2012,Electronic Arts
LEGO The Lord of the Rings,X360,2012,Warner Bros. Interactive Entertainment
Hyrule Warriors,WiiU,2014,Nintendo
2010 FIFA World Cup South Africa,PS3,2010,Electronic Arts
Tales of Xillia,PS3,2011,Namco Bandai Games
Super Street Fighter IV: 3D Edition,3DS,2011,Capcom
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Namco Bandai Games
FIFA Soccer 11,PSP,2010,Electronic Arts
LEGO Batman 2: DC Super Heroes,PS3,2012,Warner Bros. Interactive Entertainment
Captain Toad: Treasure Tracker,WiiU,2014,Nintendo
Injustice: Gods Among Us,PS3,2013,Warner Bros. Interactive Entertainment
Just Dance 4,X360,2012,Ubisoft
Resident Evil: Operation Raccoon City,PS3,2012,Capcom
WWE '12,PS3,2011,THQ
Grand Theft Auto V,PC,2015,Take-Two Interactive
Fallout: New Vegas,PC,2010,Bethesda Softworks
Your Shape: Fitness Evolved 2012,X360,2011,Ubisoft
