Name,Platform,Year_of_Release,Publisher
Wildstar,PC,2014,NCSoft
Dynasty Warriors 8: Xtreme Legends,PS3,2013,Tecmo Koei
Fist of the North Star: Ken's Rage,X360,2010,Ubisoft Annecy
James Noir's Hollywood Crimes,3DS,2011,Ubisoft
Lufia: Curse of the Sinistrals,DS,2010,Square Enix
Mugen Souls,PS3,2012,Nippon Ichi Software
F.E.A.R. 3,PC,2011,Warner Bros. Interactive Entertainment
Naruto: Powerful Shippuden,3DS,2012,Namco Bandai Games
The Adventures of Tintin: The Game,3DS,2011,Ubisoft
Dynasty Warriors 8,X360,2013,Tecmo Koei
Birds of Steel,X360,2012,Konami Digital Entertainment
DiRT 3,PC,2011,Codemasters
Darksiders II,WiiU,2012,THQ
Tears to Tiara II: Heir of the Overlord,PS3,2013,Nippon Ichi Software
de Blob 2,X360,2011,THQ
Marvel Super Hero Squad: The Infinity Gauntlet,X360,2010,THQ
Prince of Persia: The Forgotten Sands,DS,2010,Ubisoft
Oreshika: Tainted Bloodlines,PSV,2014,Sony Computer Entertainment
Megamind: Ultimate Showdown,PS3,2010,THQ
Thor: God of Thunder,Wii,2011,Sega
Sword Art Online: Hollow Realization,PSV,2016,Namco Bandai Games
High Velocity Bowling,PS3,2010,Sony Computer Entertainment
Ys: The Oath in Felghana,PSP,2010,Falcom Corporation
Lego Star Wars: The Force Awakens,WiiU,2016,Warner Bros. Interactive Entertainment
The Cursed Crusade,X360,2011,DTP Entertainment
Earth Defense Force 2025,X360,2013,D3Publisher
Pac-Man Party 3D,3DS,2011,Namco Bandai Games
WWE '13,Wii,2012,THQ
Rayman Origins,3DS,2012,Ubisoft
Summon Night 5,PSP,2013,Namco Bandai Games
Black * Rock Shooter: The Game,PSP,2011,Unknown
ReCore,XOne,2016,Microsoft Game Studios
Record of Agarest War 2,PS3,2010,Compile Heart
Skylanders Giants,3DS,2012,Activision
