Name,Platform,Year_of_Release,Publisher
Supremacy MMA,X360,2011,505 Games
Warriors Orochi 3 Hyper,WiiU,2012,Tecmo Koei
PAC-MAN and the Ghostly Adventures,PS3,2013,Namco Bandai Games
"Warhammer 40,000: Dawn of War II - Retribution",PC,2011,THQ
Knights Contract,X360,2011,Namco Bandai Games
PAC-MAN and the Ghostly Adventures,X360,2013,Namco Bandai Games
The First Templar,PC,2011,Kalypso Media
Lost Dimension,PSV,2014,Nippon Ichi Software
Assassin's Creed: Rogue,PC,2015,Ubisoft
Samurai Warriors Chronicles 3,3DS,2014,Tecmo Koei
Zero Escape: Zero Time Dilemma,3DS,2016,Aksys Games
Jimmie Johnson's Anything With an Engine,PS3,2011,Konami Digital Entertainment
Lost Dimension,PS3,2014,Nippon Ichi Software
Legend of the Guardians: The Owls of Ga'Hoole,X360,2010,Warner Bros. Interactive Entertainment
Blood Drive,PS3,2010,Activision
Escape Dead Island,PS3,2014,Deep Silver
Damage Inc.: Pacific Squadron WWII,X360,2012,Mad Catz
Escape Dead Island,X360,2014,Deep Silver
Child of Light,PSV,2014,Ubisoft
Tokyo Twilight Ghost Hunters,PSV,2014,Aksys Games
Earth Defense Force 2: Invaders from Planet Space,PSV,2014,Xseed Games
Mugen Souls Z,PS3,2013,Nippon Ichi Software
The Testament of Sherlock Holmes,PC,2012,Focus Home Interactive
Inversion,PS3,2012,Namco Bandai Games
Ultimate Marvel vs. Capcom 3,X360,2011,Capcom
Top Gun,PS3,2011,505 Games
Dragon Ball Z: Battle of Z,X360,2014,Namco Bandai Games
Mayhem 3D,X360,2011,Evolved Games
Natural Doctrine,PSV,2014,Nippon Ichi Software
Alan Wake,PC,2012,Nordic Games
Risen 3: Titan Lords,X360,2014,Deep Silver
Criminal Girls: Invite Only,PSV,2013,Nippon Ichi Software
Samurai Warriors Chronicles 3,PSV,2014,Tecmo Koei
One Piece: Unlimited World Red,WiiU,2014,Namco Bandai Games
