Name,Platform,Year_of_Release,Publisher
Sniper: Ghost Warrior,X360,2010,City Interactive
Medal of Honor: Warfighter,X360,2012,Electronic Arts
Pokemon Rumble Blast,3DS,2011,Nintendo
LEGO Star Wars III: The Clone Wars,3DS,2011,LucasArts
Fantasy Life,3DS,2012,Nintendo
The Legend of Zelda: Tri Force Heroes,3DS,2015,Nintendo
ModNation Racers,PS3,2010,Sony Computer Entertainment
Rocksmith,PS3,2011,Ubisoft
Rocksmith,X360,2011,Ubisoft
Persona 4: Golden,PSV,2012,Atlus
Crackdown 2,X360,2010,Microsoft Game Studios
Dragon Age II,X360,2011,Electronic Arts
Fight Night Champion,PS3,2011,Electronic Arts
Pikmin 3,WiiU,2013,Nintendo
WWE 2K14,X360,2013,Take-Two Interactive
Castlevania: Lords of Shadow,PS3,2010,Konami Digital Entertainment
Plants vs. Zombies,DS,2011,Mastertronic
LEGO City Undercover,WiiU,2013,Nintendo
NCAA Football 14,X360,2013,Electronic Arts
Sonic Free Riders,X360,2010,Sega
WWE SmackDown vs. Raw 2011,PS3,2010,THQ
NCAA Football 13,X360,2012,Electronic Arts
Dante's Inferno,PS3,2010,Electronic Arts
Plants vs. Zombies: Garden Warfare,X360,2014,Electronic Arts
FIFA Soccer 11,Wii,2010,Electronic Arts
Lightning Returns: Final Fantasy XIII,PS3,2013,Square Enix
Overwatch,XOne,2016,Activision
Aliens vs Predator,X360,2010,Sega
Skylanders Giants,PS3,2012,Activision
Darksiders,X360,2010,THQ
Sleeping Dogs,PS3,2012,Square Enix
Aliens vs Predator,PS3,2010,Sega
Brink,X360,2011,Bethesda Softworks
UFC Undisputed 3,PS3,2012,THQ
