Name,Platform,Year_of_Release,Publisher
Dark Void,X360,2010,Capcom
Pandora's Tower,Wii,2011,Nintendo
Jonah Lomu Rugby Challenge,X360,2011,Home Entertainment Suppliers
Mega Man Zero Collection,DS,2010,Capcom
Pro Evolution Soccer 2013,X360,2012,Konami Digital Entertainment
Dragon Ball Z: Battle of Z,PS3,2014,Namco Bandai Games
NASCAR 2011: The Game,X360,2011,Activision
BlazBlue: Chrono Phantasma,PS3,2013,Arc System Works
Mario Party: Star Rush,3DS,2016,Nintendo
Tom Clancy's Splinter Cell 3D,3DS,2011,Ubisoft
F1 2013,X360,2013,Codemasters
PowerUp Heroes,X360,2011,Ubisoft
Madden NFL 13,PSV,2012,Electronic Arts
Silent Hill: Shattered Memories,PSP,2010,Konami Digital Entertainment
Sword Art Online: Hollow Fragment,PSV,2014,Namco Bandai Games
Fist of the North Star: Ken's Rage 2,PS3,2012,Tecmo Koei
Little Deviants,PSV,2011,Sony Computer Entertainment
Radiant Historia,DS,2010,Atlus
Sorcery,PS3,2012,Sony Computer Entertainment
Batman: The Brave and the Bold the Videogame,DS,2010,Warner Bros. Interactive Entertainment
Def Jam Rapstar,X360,2010,Konami Digital Entertainment
MySims SkyHeroes,Wii,2010,Electronic Arts
Modnation Racers: Road Trip,PSV,2012,Sony Computer Entertainment
ExerBeat,Wii,2010,Namco Bandai Games
Front Mission Evolved,PS3,2010,Square Enix
Ultimate Marvel vs. Capcom 3,PSV,2011,Capcom
NieR,X360,2010,Square Enix
Starhawk,PS3,2012,Sony Computer Entertainment
FIFA Soccer 13,3DS,2012,Electronic Arts
Ace Combat: Joint Assault,PSP,2010,Namco Bandai Games
Sonic Boom: Shattered Crystal,3DS,2014,Sega
Angry Birds Star Wars,PS3,2013,Activision
Sengoku Basara: Samurai Heroes,Wii,2010,Capcom
Assassin's Creed IV: Black Flag,WiiU,2013,Ubisoft
