Name,Platform,Year_of_Release,Publisher
Mario vs. Donkey Kong: Tipping Stars,3DS,2015,Nintendo
Tournament of Legends,Wii,2010,Sega
Fist of the North Star: Ken's Rage 2,X360,2012,Tecmo Koei
Monster Tale,DS,2011,Majesco Entertainment
Zero Escape: Zero Time Dilemma,PSV,2016,Aksys Games
Unchained Blades ,PSP,2011,FuRyu
Earth Defense Force 2017 Portable,PSV,2012,D3Publisher
DuckTales: Remastered,WiiU,2013,Capcom
MX vs. ATV Supercross,X360,2014,Nordic Games
Grand Kingdom,PSV,2015,Nippon Ichi Software
Blur,PC,2010,Activision
Create,PC,2010,Electronic Arts
Devil's Third,WiiU,2015,Nintendo
Lord of Magna: Maiden Heaven,3DS,2014,Marvelous Entertainment
Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Little Orbit
Inversion,X360,2012,Namco Bandai Games
Exist Archive: The Other Side of the Sky,PSV,2015,Aksys Games
Ivy the Kiwi?,Wii,2010,Rising Star Games
Top Gun: Hard Lock,X360,2012,505 Games
Street Fighter V,PC,2016,Capcom
Tropico 5,X360,2014,Kalypso Media
X-Men: Destiny,DS,2011,Activision
Tokyo Twilight Ghost Hunters,PS3,2014,Aksys Games
MotorStorm RC,PSV,2012,Sony Computer Entertainment
Remember Me,PC,2013,Capcom
Ride to Hell,X360,2013,Deep Silver
Enemy Front,PS3,2014,City Interactive
Front Mission Evolved,PC,2010,Square Enix
IL-2 Sturmovik: Cliffs of Dover,PC,2011,Ubisoft
Mighty No. 9,PS4,2016,Deep Silver
PAC-MAN and the Ghostly Adventures,WiiU,2013,Namco Bandai Games
Lucha Libre AAA: Heroes del Ring,X360,2010,Konami Digital Entertainment
TNA iMPACT: Cross the Line,PSP,2010,SouthPeak Games
Sacred 3,X360,2014,Deep Silver
