Name,Platform,Year_of_Release,Publisher
Resonance of Fate,X360,2010,Sega
Harry Potter and the Deathly Hallows - Part 2,Wii,2011,Electronic Arts
Danganronpa: Trigger Happy Havoc,PSV,2013,Nippon Ichi Software
Binary Domain,PS3,2012,Sega
DECA Sports Freedom,X360,2010,Hudson Soft
Mystery Case Files: The Malgrave Incident,Wii,2011,Nintendo
Iron Man 2,Wii,2010,Sega
Def Jam Rapstar,PS3,2010,Konami Digital Entertainment
Hatsune Miku: Project Mirai DX,3DS,2015,Sega
The Black Eyed Peas Experience,X360,2011,Ubisoft
Remember Me,PS3,2013,Capcom
Silent Hill: Downpour,X360,2012,Konami Digital Entertainment
Dead or Alive 5,X360,2012,Ubisoft Annecy
Harry Potter and the Deathly Hallows - Part 2,PS3,2011,Electronic Arts
Hatsune Miku: Project Diva F 2nd,PSV,2014,Sega
Operation Flashpoint: Red River,PS3,2011,Codemasters
Silent Hill HD Collection,PS3,2012,Konami Digital Entertainment
Army of Two: The 40th Day,PSP,2010,Electronic Arts
Persona 4: Dancing All Night,PSV,2015,Nippon Ichi Software
Fable III,PC,2011,Microsoft Game Studios
Lord of Arcana,PSP,2010,Square Enix
Rugby World Cup 2011,PS3,2011,505 Games
F1 Race Stars,PS3,2012,Codemasters
BlazBlue: Continuum Shift,X360,2010,PQube
Etrian Odyssey III: The Drowned City,DS,2010,Atlus
Fate/Extra,PSP,2010,Marvelous Interactive
Drakengard 3,PS3,2013,Square Enix
Catherine,X360,2011,Deep Silver
Bust-A-Move Universe,3DS,2011,Square Enix
Batman: Arkham Origins,WiiU,2013,Warner Bros. Interactive Entertainment
Shin Megami Tensei: Devil Survivor 2,DS,2011,Ghostlight
Sonic Boom: Rise of Lyric,WiiU,2014,Sega
The Settlers 7: Paths to a Kingdom,PC,2010,Ubisoft
LEGO Legends of Chima: Laval's Journey,3DS,2013,Warner Bros. Interactive Entertainment
