Name,Platform,Year_of_Release,Publisher
Dynasty Warriors 7: Xtreme Legends,PS3,2011,Tecmo Koei
Angry Birds Trilogy,X360,2012,Activision
Atelier Ayesha: The Alchemist of Dusk,PS3,2012,Tecmo Koei
Tony Hawk: Shred,X360,2010,Activision
Tokyo Jungle,PS3,2012,Sony Computer Entertainment
Army of Two: The Devil's Cartel,X360,2013,Electronic Arts
Puppeteer,PS3,2013,Sony Computer Entertainment Europe
Game of Thrones,X360,2012,Focus Home Interactive
The Legend of Legacy,3DS,2015,FuRyu
Prison Break: The Conspiracy,PS3,2010,Deep Silver
Michael Jackson: The Experience,DS,2010,Ubisoft
Hatsune Miku: Project Diva F 2nd,PS3,2014,Sega
Need for Speed Rivals,PC,2013,Electronic Arts
The Bureau: XCOM Declassified,PS3,2013,Take-Two Interactive
TV Superstars,PS3,2010,Sony Computer Entertainment
Family Guy: Back to the Multiverse,X360,2012,Activision
Ninja Gaiden 3,X360,2012,Tecmo Koei
Sly Cooper: Thieves in Time,PSV,2013,Sony Computer Entertainment Europe
Stella Glow,3DS,2015,Atlus
Racquet Sports,Wii,2010,Ubisoft
Skylanders SWAP Force,3DS,2013,Activision
Ys: Memories of Celceta,PSV,2012,Nihon Falcom Corporation
Ace Combat: Assault Horizon Legacy,3DS,2011,Namco Bandai Games
Percy Jackson and the Olympians: The Lightning Thief,DS,2010,Activision
Dynasty Warriors 7,X360,2011,Tecmo Koei
Asura's Wrath,X360,2012,Capcom
The Adventures of Tintin: The Game,X360,2011,Ubisoft
Etrian Mystery Dungeon,3DS,2015,Nippon Ichi Software
Dreamcast Collection,X360,2011,Sega
Spider-Man: Shattered Dimensions,Wii,2010,Activision
X-Men: Destiny,PS3,2011,Activision
The Testament of Sherlock Holmes,PS3,2012,Focus Home Interactive
Game of Thrones,PS3,2012,Focus Home Interactive
LEGO Marvel's Avengers,WiiU,2016,Warner Bros. Interactive Entertainment
