Name,Platform,Year_of_Release,Publisher
Need for Speed: Hot Pursuit,Wii,2010,Electronic Arts
Silent Hill: Downpour,PS3,2012,Konami Digital Entertainment
LEGO The Hobbit,X360,2014,Warner Bros. Interactive Entertainment
PlayStation All-Stars Battle Royale,PSV,2012,Sony Computer Entertainment
Major League Baseball 2K11,X360,2011,Take-Two Interactive
Red Faction: Armageddon,PS3,2011,THQ
F.E.A.R. 3,PS3,2011,Warner Bros. Interactive Entertainment
Harry Potter and the Deathly Hallows - Part 1,X360,2010,Electronic Arts
Dead or Alive: Dimensions,3DS,2011,Ubisoft Annecy
Deadpool,PS3,2013,Activision
F.E.A.R. 3,X360,2011,Warner Bros. Interactive Entertainment
Disney Guilty Party,Wii,2010,Disney Interactive Studios
"Warhammer 40,000: Space Marine",PS3,2011,THQ
Mario Tennis Ultra Smash,WiiU,2015,Nintendo
Virtua Tennis 4,PS3,2011,Sega
Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012,Namco Bandai Games
Transformers: Fall of Cybertron,X360,2012,Activision
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,2010,Sony Computer Entertainment
DmC: Devil May Cry,X360,2013,Capcom
FIFA Soccer 13,PSV,2012,Electronic Arts
Child of Eden,X360,2011,Ubisoft
Spider-Man: Shattered Dimensions,PS3,2010,Activision
Ninja Gaiden 3,PS3,2012,Tecmo Koei
Tetris Axis,3DS,2011,Tetris Online
Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014,Namco Bandai Games
Naughty Bear,PS3,2010,505 Games
Deadpool,X360,2013,Activision
Hyperdimension Neptunia,PS3,2010,Tecmo Koei
Payday 2,PS3,2013,505 Games
OkamiDen,DS,2010,Capcom
Hometown Story,3DS,2013,Rising Star Games
Alpha Protocol,PS3,2010,Sega
Rayman Legends,X360,2013,Ubisoft
2014 FIFA World Cup Brazil,X360,2014,Electronic Arts
