Name,Platform,Year_of_Release,Publisher
Darkspore,PC,2011,Electronic Arts
Self-Defense Training Camp,X360,2011,Ubisoft
Deception IV: Blood Ties,PS3,2014,Tecmo Koei
Puzzle Quest 2,DS,2010,D3Publisher
Disney Art Academy,3DS,2016,Nintendo
Hyperdimension Neptunia U: Action Unleashed,PSV,2014,Idea Factory International
Blood Drive,X360,2010,Activision
Fatal Frame: Maiden of Black Water,WiiU,2014,Nintendo
MLB 13: The Show,PSV,2013,Sony Computer Entertainment
Split/Second,PSP,2010,Disney Interactive Studios
Dementium II,DS,2010,SouthPeak Games
BlazBlue: Calamity Trigger Portable,PSP,2010,PQube
de Blob 2,DS,2011,THQ
JASF: Jane's Advanced Strike Fighters,PS3,2011,Deep Silver
Ridge Racer Unbounded,X360,2012,Namco Bandai Games
John Daly's ProStroke Golf,PS3,2010,O-Games
Truth or Lies,X360,2010,THQ
Gabrielle's Ghostly Groove 3D,3DS,2011,Funbox Media
Valkyrie Drive: Bhikkhuni,PSV,2015,PQube
Bodycount,PS3,2011,Codemasters
Bodycount,X360,2011,Codemasters
Michael Phelps: Push the Limit,X360,2011,505 Games
Blazblue: Continuum Shift Extend,PSV,2011,PQube
Cabela's North American Adventures,X360,2010,Activision
BlazBlue: Continuum Shift II,3DS,2011,PQube
NASCAR '14,PS3,2014,Deep Silver
Shrek: Forever After,X360,2010,Activision
ArmA III,PC,2013,Bohemia Interactive
MLB 14: The Show,PSV,2014,Sony Computer Entertainment America
Dragon Ball Z: Battle of Z,PSV,2014,Namco Bandai Games
Aquapazza: Aquaplus Dream Match,PS3,2012,Aqua Plus
Lucha Libre AAA: Heroes del Ring,PS3,2010,Konami Digital Entertainment
Pac-Man and the Ghostly Adventures 2,X360,2014,Namco Bandai Games
"Sakura Wars: So Long, My Love",Wii,2010,Ackkstudios
