Name,Platform,Year_of_Release,Publisher
SSX,X360,2012,Electronic Arts
Skylanders: Trap Team,WiiU,2014,Activision
NHL 12,X360,2011,Electronic Arts
Omerta: City of Gangsters,X360,2011,Konami Digital Entertainment
Driver: San Francisco,X360,2011,Ubisoft
James Bond 007: Blood Stone,PS3,2010,Activision
MotionSports,X360,2010,Ubisoft
Plants vs. Zombies: Garden Warfare,XOne,2014,Electronic Arts
Prince of Persia: The Forgotten Sands,PS3,2010,Ubisoft
Top Spin 4,PS3,2011,Take-Two Interactive
The Sly Collection,PS3,2010,Sony Computer Entertainment
Kirby's Dream Collection: Special Edition,Wii,2012,Nintendo
RIFT,PC,2011,Unknown
Terraria,X360,2013,505 Games
Fossil Fighters: Champions,DS,2010,Nintendo
The Sims 3,DS,2010,Electronic Arts
Castlevania: Lords of Shadow,X360,2010,Konami Digital Entertainment
NHL 13,X360,2012,Electronic Arts
Rayman Legends,WiiU,2013,Ubisoft
BioShock Infinite,PC,2013,Take-Two Interactive
Lollipop Chainsaw,PS3,2012,Warner Bros. Interactive Entertainment
Gods Eater Burst,PSP,2010,Namco Bandai Games
Fist of the North Star: Ken's Rage,PS3,2010,Ubisoft Annecy
Freedom Wars,PSV,2014,Sony Computer Entertainment
The Last Story,Wii,2011,Nintendo
Borderlands 2,PSV,2014,Take-Two Interactive
Assassin's Creed IV: Black Flag,PC,2013,Ubisoft
The LEGO Movie Videogame,WiiU,2014,Warner Bros. Interactive Entertainment
WWE 2K15,X360,2014,Take-Two Interactive
Rayman 3D,3DS,2011,Ubisoft
Sengoku Basara: Samurai Heroes,PS3,2010,Capcom
Dragon Ball: Raging Blast 2,X360,2010,Namco Bandai Games
NHL 13,PS3,2012,Electronic Arts
Dead or Alive 5,PS3,2012,Tecmo Koei
