Name,Platform,Year_of_Release,Publisher
LEGO Pirates of the Caribbean: The Video Game,X360,2011,Disney Interactive Studios
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Nintendo
Disney Universe,Wii,2011,Disney Interactive Studios
Dance on Broadway,Wii,2010,Ubisoft
Bulletstorm,X360,2011,Electronic Arts
Skylanders SWAP Force,PS3,2013,Activision
Sonic Generations,3DS,2011,Sega
Pokemon Conquest,DS,2012,Nintendo
Assassin's Creed: Rogue,X360,2014,Ubisoft
ZombiU,WiiU,2012,Ubisoft
Pokken Tournament,WiiU,2016,Namco Bandai Games
God of War: Ghost of Sparta,PSP,2010,Sony Computer Entertainment
Rayman Origins,PS3,2011,Ubisoft
Just Dance 2014,X360,2013,Ubisoft
NCAA Football 12,X360,2011,Electronic Arts
UFC Undisputed 3,X360,2012,THQ
Kirby: Mass Attack,DS,2011,Nintendo
Dark Souls,X360,2011,Namco Bandai Games
Dead Space 3,X360,2013,Electronic Arts
Tom Clancy's Splinter Cell: Blacklist,X360,2013,Ubisoft
Disney Infinity,PS3,2013,Disney Interactive Studios
Mass Effect 3,PC,2012,Electronic Arts
Skylanders: Spyro's Adventure,X360,2011,Activision
Dead Space 3,PS3,2013,Electronic Arts
Guitar Hero: Warriors of Rock,Wii,2010,Activision
The Witcher 2: Assassins of Kings,PC,2011,Namco Bandai Games
Mario Tennis Open,3DS,2012,Nintendo
PilotWings Resort,3DS,2011,Nintendo
PlayStation All-Stars Battle Royale,PS3,2012,Sony Computer Entertainment
Pro Evolution Soccer 2014,PS3,2013,Konami Digital Entertainment
Driver: San Francisco,PS3,2011,Ubisoft
Army of Two: The 40th Day,X360,2010,Electronic Arts
Lost Planet 2,PS3,2010,Capcom
Star Fox 64 3D,3DS,2011,Nintendo
