Name,Platform,Year_of_Release,Publisher
Armored Core V,PS3,2012,Namco Bandai Games
Harry Potter and the Deathly Hallows - Part 1,PS3,2010,Electronic Arts
Project X Zone,3DS,2012,Namco Bandai Games
NBA Jam,PS3,2010,Electronic Arts
NBA Jam,X360,2010,Electronic Arts
Madden NFL Football,3DS,2011,Electronic Arts
Transformers: Fall of Cybertron,PS3,2012,Activision
Alpha Protocol,X360,2010,Sega
Combat of Giants: Dinosaurs 3D,3DS,2011,Ubisoft
Sonic Lost World,WiiU,2013,Sega
Iron Man 2,PS3,2010,Sega
Monopoly Streets,PS3,2010,Electronic Arts
The Darkness II,X360,2012,Take-Two Interactive
Samurai Warriors Chronicles,3DS,2011,Tecmo Koei
One Piece: Unlimited World Red,3DS,2013,Namco Bandai Games
EA Sports Active 2,X360,2010,Electronic Arts
Red Faction: Armageddon,X360,2011,THQ
Dungeon Siege III,PS3,2011,Square Enix
Farming Simulator 2013,X360,2013,Focus Home Interactive
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Ghostlight
Metal Gear Solid: Snake Eater 3D,3DS,2012,Konami Digital Entertainment
Ghost Trick: Phantom Detective,DS,2010,Capcom
Get Fit with Mel B,PS3,2010,Black Bean Games
Pro Evolution Soccer 2011 3D,3DS,2011,Konami Digital Entertainment
Wii Sports Club,WiiU,2014,Nintendo
Skylanders Giants,WiiU,2012,Activision
GRID 2,PS3,2013,Codemasters
Just Dance 4,WiiU,2012,Ubisoft
Need for Speed: Hot Pursuit,PC,2010,Electronic Arts
EA Sports MMA,PS3,2010,Electronic Arts
Tiger Woods PGA Tour 14,PS3,2013,Electronic Arts
Rage,PC,2011,Bethesda Softworks
Prince of Persia: The Forgotten Sands,PSP,2010,Ubisoft
Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Square Enix
