Name,Platform,Year_of_Release,Publisher
Syndicate,PS3,2012,EA Games
Cave Story 3D,3DS,2011,Nippon Ichi Software
Just Cause 3,PC,2015,Square Enix
Thor: God of Thunder,X360,2011,Sega
Thor: God of Thunder,PS3,2011,Sega
Top Spin 4,Wii,2011,Take-Two Interactive
Risen 2: Dark Waters,X360,2012,Deep Silver
Shovel Knight,3DS,2015,Yacht Club Games
Power Gig: Rise of the SixString,PS3,2010,Unknown
Odin Sphere: Leifthrasir,PSV,2016,Nippon Ichi Software
TRINITY: Souls of Zill O'll,PS3,2010,Ubisoft Annecy
Virtua Tennis 4,Wii,2011,Sega
Rayman Legends,PSV,2014,Ubisoft
How to Train Your Dragon,X360,2010,Activision
Create,X360,2010,Electronic Arts
NCIS,X360,2011,Ubisoft
Persona 4: Arena Ultimax,PS3,2014,Atlus
BIT.TRIP SAGA,3DS,2011,Rising Star Games
Call of Duty: Infinite Warfare,PC,2016,Activision
Your Shape: Fitness Evolved 2013,WiiU,2012,Ubisoft
Divinity II: The Dragon Knight Saga,X360,2010,Focus Home Interactive
Kung-Fu: High Impact,X360,2011,Black Bean Games
Dengeki Bunko Fighting Climax,PSV,2014,Sega
LEGO Legends of Chima: Laval's Journey,PSV,2013,Warner Bros. Interactive Entertainment
Venetica,X360,2010,DTP Entertainment
Watch Dogs,WiiU,2014,Ubisoft
BlazBlue: Continuum Shift II,PSP,2011,PQube
Game Party: Champions,WiiU,2012,Warner Bros. Interactive Entertainment
Green Lantern: Rise of the Manhunters,3DS,2011,Warner Bros. Interactive Entertainment
Deception IV: Blood Ties,PSV,2014,Tecmo Koei
Rango: The Video Game,X360,2011,Electronic Arts
One Piece: Unlimited World Red,PSV,2014,Namco Bandai Games
Naruto Shippuden: Kizuna Drive,PSP,2010,Namco Bandai Games
Steel Battalion: Heavy Armor,X360,2012,Capcom
