Name,Platform,Year_of_Release,Publisher
Senran Kagura 2: Deep Crimson ,3DS,2014,Marvelous Entertainment
Hunted: The Demon's Forge,X360,2011,Bethesda Softworks
Hot Shots Tennis: Get a Grip,PSP,2010,Sony Computer Entertainment
Star Wars: The Force Unleashed II,DS,2010,LucasArts
Armored Core V,X360,2012,Namco Bandai Games
Code Name: S.T.E.A.M.,3DS,2015,Nintendo
The Bureau: XCOM Declassified,X360,2013,Take-Two Interactive
Journey,PS3,2012,Sony Computer Entertainment Europe
SBK X: Superbike World Championship,PS3,2010,Black Bean Games
Dragon Ball: Fusions,3DS,2016,Namco Bandai Games
Disgaea D2: A Brighter Darkness,PS3,2013,Nippon Ichi Software
World of Final Fantasy,PSV,2016,Square Enix
Danganronpa Another Episode: Ultra Despair Girls,PSV,2014,Nippon Ichi Software
Pro Evolution Soccer 2012,Wii,2011,Konami Digital Entertainment
Heroes of Ruin,3DS,2012,Nintendo
UFC Undisputed 2010,PSP,2010,THQ
J Stars Victory Vs.,PSV,2014,Namco Bandai Games
de Blob 2,PS3,2011,THQ
Prison Break: The Conspiracy,X360,2010,Deep Silver
You Don't Know Jack,Wii,2011,THQ
Mega Man Legacy Collection,3DS,2016,Capcom
The Last Airbender,Wii,2010,THQ
You Don't Know Jack,X360,2011,THQ
MLB 10: The Show,PSP,2010,Sony Computer Entertainment
Frogger 3D,3DS,2011,Konami Digital Entertainment
Lost Planet 3,PS3,2013,Capcom
Anarchy Reigns,PS3,2012,Sega
Sniper: Ghost Warrior 2,X360,2013,City Interactive
"Warhammer 40,000: Space Marine",PC,2011,THQ
Disney's Planes,WiiU,2013,Disney Interactive Studios
The Witch and the Hundred Knight,PS3,2013,Nippon Ichi Software
Code of Princess,3DS,2012,Agatsuma Entertainment
Major League Baseball 2K11,PS3,2011,Take-Two Interactive
Kung Fu Rider,PS3,2010,Sony Computer Entertainment
