Name,Platform,Year_of_Release,Publisher
Stranger of Sword City,PSV,2015,Nippon Ichi Software
Alpha Protocol,PC,2010,Sega
JoJo's Bizarre Adventure: Eyes of Heaven,PS4,2015,Namco Bandai Games
Yumi's Odd Odyssey,3DS,2013,Agatsuma Entertainment
Prince of Persia: The Forgotten Sands,PC,2010,Ubisoft
Jikandia: The Timeless Land,PSP,2010,Idea Factory
Sorcery Saga: The Curse of the Great Curry God,PSV,2013,Rising Star Games
Zero Escape: Virtue's Last Reward,3DS,2012,Rising Star Games
Darkstalkers Resurrection,PS3,2013,Capcom
Rabbids Land,WiiU,2012,Ubisoft
Take On Helicopters,PC,2011,Unknown
Mighty No. 9,WiiU,2016,Deep Silver
Superdimension Neptune vs Sega Hard Girls,PSV,2016,Idea Factory International
LEGO Harry Potter: Years 1-4,PC,2010,Warner Bros. Interactive Entertainment
MX vs. ATV Supercross,PS3,2014,Nordic Games
XBLAZE Code: Embryo,PSV,2013,Arc System Works
Magicka,PC,2011,Paradox Interactive
Air Conflicts: Secret Wars,PC,2011,bitComposer Games
GRID Autosport,PC,2014,Codemasters
Final Fantasy XIV: Heavensward,PC,2015,Square Enix
Capcom Digital Collection,X360,2012,Capcom
Tropico 4: Modern Times,PC,2012,Kalypso Media
Psycho-Pass: Mandatory Happiness,PSV,2016,Nippon Ichi Software
Phoenix Wright: Ace Attorney Trilogy,3DS,2014,Capcom
Street Fighter X Tekken,PC,2012,Capcom
Dungeon Defenders,PC,2011,Unknown
Touhou Genso Rondo: Bullet Ballet,PS4,2016,Nippon Ichi Software
Sniper Elite V2,WiiU,2013,505 Games
Xblaze: Lost Memories,PS3,2015,Arc System Works
Lara Croft and the Temple of Osiris,PC,2014,Square Enix
Fist of the North Star: Ken's Rage 2,WiiU,2013,Tecmo Koei
Tenkai Knights: Brave Battle,3DS,2014,Namco Bandai Games
Battle Princess of Arcadias,PS3,2013,Nippon Ichi Software
Ridge Racer Unbounded,PC,2012,Namco Bandai Games
