Name,Platform,Year_of_Release,Publisher
Dead Island,PS3,2011,Deep Silver
Madden NFL 12,PS3,2011,Electronic Arts
God of War: Ascension,PS3,2013,Sony Computer Entertainment
New Super Luigi U,WiiU,2013,Nintendo
Madden NFL 25,X360,2013,Electronic Arts
Borderlands 2,PS3,2012,Take-Two Interactive
LEGO Marvel Super Heroes,X360,2013,Warner Bros. Interactive Entertainment
Need for Speed: Hot Pursuit,X360,2010,Electronic Arts
BioShock 2,X360,2010,Take-Two Interactive
Pro Evolution Soccer 2012,PS3,2011,Konami Digital Entertainment
Final Fantasy XIII,X360,2010,Square Enix
Overwatch,PS4,2016,Activision
Hitman: Absolution,PS3,2012,Square Enix
Mortal Kombat,X360,2011,Warner Bros. Interactive Entertainment
NBA 2K11,X360,2010,Take-Two Interactive
Portal 2,X360,2011,Valve Software
Mario Sports Mix,Wii,2010,Nintendo
Metal Gear Solid: Peace Walker,PSP,2010,Konami Digital Entertainment
Kingdom Hearts: Birth by Sleep,PSP,2010,Square Enix
Dance Central 2,X360,2011,Microsoft Game Studios
Just Dance 3,X360,2011,Ubisoft
Fire Emblem: Awakening,3DS,2012,Nintendo
Skate 3,PS3,2010,Electronic Arts
Forza Horizon,X360,2012,Microsoft Game Studios
Resident Evil 6,X360,2012,Capcom
The Sims 3,PS3,2010,Electronic Arts
BioShock Infinite,X360,2013,Take-Two Interactive
Mario Party: Island Tour,3DS,2013,Nintendo
Diablo III,PS3,2013,Activision
Batman: Arkham Origins,X360,2013,Warner Bros. Interactive Entertainment
Madden NFL 25,PS3,2013,Electronic Arts
Max Payne 3,PS3,2012,Take-Two Interactive
Kirby: Triple Deluxe,3DS,2014,Nintendo
Sonic Classic Collection,DS,2010,Sega
