Name,Platform,Year_of_Release,Publisher
Ni no Kuni: Wrath of the White Witch,PS3,2011,Namco Bandai Games
Star Wars: The Force Unleashed II,PS3,2010,LucasArts
Dead Rising 2,X360,2010,Capcom
Mafia II,PS3,2010,Take-Two Interactive
Resistance 3,PS3,2011,Sony Computer Entertainment
LEGO Star Wars III: The Clone Wars,X360,2011,LucasArts
Call of Duty Black Ops: Declassified,PSV,2012,Activision
Tom Clancy's Ghost Recon: Future Soldier,X360,2012,Ubisoft
Super Scribblenauts,DS,2010,Warner Bros. Interactive Entertainment
Homefront,X360,2011,THQ
LEGO Battles: Ninjago,DS,2011,Warner Bros. Interactive Entertainment
Disney Infinity,X360,2013,Disney Interactive Studios
Star Wars: The Force Unleashed II,X360,2010,LucasArts
Kinect Joy Ride,X360,2010,Microsoft Game Studios
Dead Space 2,PS3,2011,Electronic Arts
Dragon Quest Monsters: Joker 2,DS,2010,Square Enix
UFC Undisputed 2010,PS3,2010,THQ
Medal of Honor: Warfighter,PS3,2012,Electronic Arts
Diablo III,X360,2013,Activision
Injustice: Gods Among Us,X360,2013,Warner Bros. Interactive Entertainment
Yoshi's New Island,3DS,2014,Nintendo
Sonic Generations,X360,2011,Sega
Call of Duty: Black Ops,Wii,2010,Activision
Deus Ex: Human Revolution,PS3,2011,Square Enix
Dead Rising 2,PS3,2010,Capcom
Titanfall,X360,2014,Electronic Arts
WWE '13,PS3,2012,THQ
Metroid: Other M,Wii,2010,Nintendo
Crysis 2,X360,2011,Electronic Arts
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,Capcom
Alan Wake,X360,2010,Microsoft Game Studios
Skylanders SWAP Force,X360,2013,Activision
UFC Undisputed 2010,X360,2010,THQ
Assassin's Creed III: Liberation,PSV,2012,Ubisoft
