Name,Platform,Year_of_Release,Publisher
inFAMOUS 2,PS3,2011,Sony Computer Entertainment
LEGO Star Wars III: The Clone Wars,Wii,2011,LucasArts
Just Cause 2,PS3,2010,Square Enix
Wii Party U,WiiU,2013,Nintendo
Kinect Star Wars,X360,2012,Microsoft Game Studios
Dragon's Dogma,PS3,2012,Capcom
Dragon Quest VI: Realms of Revelation,DS,2010,Nintendo
Dishonored,X360,2012,Bethesda Softworks
Portal 2,PS3,2011,Valve
BioShock Infinite,PS3,2013,Take-Two Interactive
Sonic Colors,Wii,2010,Sega
Saints Row IV,X360,2013,Deep Silver
LEGO Batman 2: DC Super Heroes,X360,2012,Warner Bros. Interactive Entertainment
Kirby's Return to Dreamland,Wii,2011,Nintendo
Beyond: Two Souls,PS3,2013,Sony Computer Entertainment
Max Payne 3,X360,2012,Take-Two Interactive
Kinectimals,X360,2010,Microsoft Game Studios
Rage,X360,2011,Bethesda Softworks
Just Cause 2,X360,2010,Square Enix
Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Square Enix
Sonic Generations,PS3,2011,Sega
Mario Party 10,WiiU,2015,Nintendo
Gears of War: Judgment,X360,2013,Microsoft Game Studios
Need for Speed: Most Wanted,X360,2012,Electronic Arts
LEGO Pirates of the Caribbean: The Video Game,Wii,2011,Disney Interactive Studios
LEGO Harry Potter: Years 1-4,X360,2010,Warner Bros. Interactive Entertainment
Mafia II,X360,2010,Take-Two Interactive
BioShock 2,PS3,2010,Take-Two Interactive
Uncharted: Golden Abyss,PSV,2011,Sony Computer Entertainment
Go Vacation,Wii,2011,Namco Bandai Games
Pro Evolution Soccer 2013,PS3,2012,Konami Digital Entertainment
Dishonored,PS3,2012,Bethesda Softworks
Donkey Kong Country: Tropical Freeze,WiiU,2014,Nintendo
Dead Space 2,X360,2011,Electronic Arts
