Name,Platform,Year_of_Release,Publisher
Mind Zero,PSV,2013,GungHo
Family Feud: 2012 Edition,X360,2011,Ubisoft
Sacred 3,PS3,2014,Deep Silver
The First Templar,X360,2011,Kalypso Media
Blades of Time,X360,2012,Konami Digital Entertainment
NASCAR The Game: Inside Line,X360,2012,Activision
Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013,Warner Bros. Interactive Entertainment
Terraria,PSV,2013,Screenlife
Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013,Warner Bros. Interactive Entertainment
Resident Evil: Revelations 2,PSV,2015,Capcom
Harry Potter and the Deathly Hallows - Part 1,PC,2010,Electronic Arts
nail'd,X360,2010,Deep Silver
Pinball Hall of Fame: The Williams Collection,3DS,2011,Crave Entertainment
X-Men: Destiny,Wii,2011,Activision
Steins;Gate,PSV,2013,PQube
EVE: Valkyrie,PS4,2016,CCP
NeverDead,X360,2012,Konami Digital Entertainment
Thor: God of Thunder,3DS,2011,Sega
Cubic Ninja,3DS,2011,Ubisoft
MySims SkyHeroes,X360,2010,Electronic Arts
Shovel Knight,WiiU,2015,Yacht Club Games
Operation Abyss: New Tokyo Legacy,PSV,2014,Nippon Ichi Software
Cartoon Network: Punch Time Explosion,3DS,2011,Deep Silver
One Piece: Burning Blood,PSV,2016,Namco Bandai Games
Rio,X360,2011,THQ
Ultimate Marvel vs. Capcom 3,PS3,2011,Capcom
MindJack,X360,2011,Square Enix
Brain Age: Concentration Training,3DS,2012,Nintendo
Pac-Man and the Ghostly Adventures 2,PS3,2014,Namco Bandai Games
Dungeons,PC,2011,Kalypso Media
Winter Stars,X360,2011,Deep Silver
Arcania: Gothic 4,X360,2010,JoWood Productions
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016,Activision
Steins;Gate 0,PSV,2015,PQube
