Name,Platform,Year_of_Release,Publisher
MorphX,X360,2010,505 Games
The Bureau: XCOM Declassified,PC,2013,Take-Two Interactive
Back to the Future: The Game,Wii,2011,Telltale Games
Ivy the Kiwi?,DS,2010,Rising Star Games
Zumba Fitness Core,X360,2012,505 Games
Metroid Prime: Federation Force,3DS,2016,Nintendo
Grand Ages: Medieval,PC,2015,Kalypso Media
DuckTales: Remastered,PS3,2013,Capcom
XCOM 2,XOne,2016,Take-Two Interactive
Yaiba: Ninja Gaiden Z,X360,2014,Tecmo Koei
Rock of the Dead,X360,2010,Conspiracy Entertainment
Root Letter,PSV,2016,PQube
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,2016,Activision
Enemy Front,X360,2014,Namco Bandai Games
Shantae and the Pirate's Curse,3DS,2015,Rising Star Games
Corpse Party: Book of Shadows,PSP,2011,5pb
LEGO Friends,3DS,2013,Warner Bros. Interactive Entertainment
Attack of the Movies 3D,X360,2010,Majesco Entertainment
Split/Second,PC,2010,Disney Interactive Studios
Gravity Falls: Legend of the Gnome Gemulets,3DS,2015,Ubisoft
Rodea the Sky Soldier,3DS,2015,Nippon Ichi Software
Deadliest Warrior: Ancient Combat,X360,2012,Cloud Imperium Games Corporation
The Kore Gang,Wii,2010,Flashpoint Games
Test Drive: Ferrari Legends,PS3,2012,Unknown
Virtua Tennis 4,PC,2011,Sega
Unchained Blades ,3DS,2011,FuRyu
Patrician IV,PC,2010,Kalypso Media
CSI: Fatal Conspiracy,PC,2010,Ubisoft
Resident Evil: Operation Raccoon City,PC,2012,Capcom
Beyblade Evolution,3DS,2013,Rising Star Games
Castlevania: Lords of Shadow 2,PC,2014,Konami Digital Entertainment
Worms: Ultimate Mayhem,PC,2011,Unknown
Ray Gigant,PSV,2015,Namco Bandai Games
Legasista,PS3,2012,Nippon Ichi Software
