Name,Platform,Year_of_Release,Publisher
MindJack,PS3,2011,Square Enix
Dead or Alive Paradise,PSP,2010,Ubisoft Annecy
Ridge Racer,PSV,2011,Namco Bandai Games
Hitman: HD Trilogy,X360,2013,Square Enix
PlayStation Move Heroes,PS3,2011,Sony Computer Entertainment
Captain America: Super Soldier,X360,2011,Sega
Danganronpa 2: Goodbye Despair,PSV,2014,Nippon Ichi Software
The Lord of the Rings: Aragorn's Quest,PS3,2010,Warner Bros. Interactive Entertainment
Conception II: Children of the Seven Stars,PSV,2013,Screenlife
MotoGP 09/10,X360,2010,Capcom
Demon Gaze,PSV,2013,Nippon Ichi Software
CSI: Fatal Conspiracy,X360,2010,Ubisoft
The Cursed Crusade,PS3,2011,DTP Entertainment
Ridge Racer Unbounded,PS3,2012,Namco Bandai Games
Mobile Suit Gundam: Extreme VS Force,PSV,2015,Namco Bandai Games
NASCAR '14,X360,2014,Deep Silver
Green Lantern: Rise of the Manhunters,PS3,2011,Warner Bros. Interactive Entertainment
Naval Assault: The Killing Tide,X360,2010,505 Games
MLB 11: The Show,PSP,2011,Sony Computer Entertainment
7th Dragon III Code: VFD,3DS,2015,Sega
Far Cry: Primal,PC,2016,Ubisoft
Driver: San Francisco,Wii,2011,Ubisoft
Dengeki Bunko Fighting Climax,PS3,2014,Sega
Clash of the Titans,X360,2010,Namco Bandai Games
F1 2011,3DS,2011,Codemasters
Doctor Lautrec and the Forgotten Knights,3DS,2011,Konami Digital Entertainment
Aliens: Infestation,DS,2011,Sega
Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015,Marvelous Entertainment
El Shaddai: Ascension of the Metatron,X360,2011,Ignition Entertainment
Warriors Orochi 3,X360,2011,Ubisoft Annecy
Hyperdimension Neptunia Victory,PS3,2012,Compile Heart
Create,PS3,2010,Electronic Arts
Ar Nosurge: Ode to an Unborn Star,PS3,2014,Tecmo Koei
Shaun White Skateboarding,X360,2010,Ubisoft
