Name,Platform,Year_of_Release,Publisher
2010 FIFA World Cup South Africa,X360,2010,Electronic Arts
Kingdoms of Amalur: Reckoning,PS3,2012,Electronic Arts
Tekken Tag Tournament 2,PS3,2012,Namco Bandai Games
Wii Fit U,WiiU,2013,Nintendo
NCAA Football 11,PS3,2010,Electronic Arts
Darksiders II,PS3,2012,THQ
 Tales of Xillia 2,PS3,2012,Namco Bandai Games
Xenoblade Chronicles X,WiiU,2015,Nintendo
NCAA Football 14,PS3,2013,Electronic Arts
Sniper Elite V2,X360,2012,505 Games
Duke Nukem Forever,X360,2011,Take-Two Interactive
NCAA Football 12,PS3,2011,Electronic Arts
Tiger Woods PGA Tour 11,PS3,2010,Electronic Arts
Street Fighter X Tekken,PS3,2012,Capcom
Tales of the Abyss,3DS,2011,Namco Bandai Games
Dragon Age II,PS3,2011,Electronic Arts
Call of Duty: Modern Warfare 3,Wii,2011,Activision
DJ Hero 2,X360,2010,Activision
Devil May Cry HD Collection,PS3,2012,Capcom
Dance Central 3,X360,2012,Microsoft Game Studios
Guitar Hero: Warriors of Rock,PS3,2010,Activision
Dragon Ball: Raging Blast 2,PS3,2010,Namco Bandai Games
Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012,Level 5
Killzone: Mercenary,PSV,2013,Sony Computer Entertainment Europe
Final Fantasy X / X-2 HD Remaster,PSV,2013,Square Enix
pro evolution soccer 2011,PSP,2010,Konami Digital Entertainment
Darksiders II,X360,2012,THQ
Need for Speed Rivals,X360,2013,Electronic Arts
[Prototype 2],X360,2012,Activision
Dragon's Dogma,X360,2012,Capcom
Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010,Namco Bandai Games
Golden Sun: Dark Dawn,DS,2010,Nintendo
Fight Night Champion,X360,2011,Electronic Arts
Dead Island: Riptide,X360,2013,Deep Silver
