Name,Platform,Year_of_Release,Publisher
X-Men: Destiny,X360,2011,Activision
Pro Evolution Soccer 2014,X360,2013,Konami Digital Entertainment
Pure Futbol,PS3,2010,Ubisoft
Ar tonelico Qoga: Knell of Ar Ciel,PS3,2010,Tecmo Koei
Birds of Steel,PS3,2012,Konami Digital Entertainment
Prince of Persia: The Forgotten Sands,Wii,2010,Ubisoft
Dynasty Warriors: Gundam Reborn,PS3,2013,Tecmo Koei
Hatsune Miku: Project Diva f,PSV,2012,Sega
The Legend of Heroes: Trails of Cold Steel,PSV,2013,Nippon Ichi Software
Virtua Tennis 4,X360,2011,Sega
DiRT Showdown,X360,2012,Codemasters
XCOM 2,PC,2016,Take-Two Interactive
The Lord of the Rings: Aragorn's Quest,Wii,2010,Warner Bros. Interactive Entertainment
Grand Slam Tennis 2,PS3,2012,Electronic Arts
Epic Mickey 2: The Power of Two,WiiU,2012,Disney Interactive Studios
Carnival Island,PS3,2011,Sony Computer Entertainment
Tom Clancy's Rainbow Six: Siege,PC,2015,Ubisoft
TrackMania: Build to Race,Wii,2010,Focus Home Interactive
WWE All Stars,3DS,2011,THQ
Madden NFL 13,WiiU,2012,Electronic Arts
Toukiden Kiwami,PSV,2014,Tecmo Koei
Lumines: Electronic Symphony,PSV,2012,Ubisoft
Killer is Dead,PS3,2013,Deep Silver
F1 2014,X360,2014,Codemasters
pro evolution soccer 2011,Wii,2010,Konami Digital Entertainment
Risen 2: Dark Waters,PC,2012,Deep Silver
Soul Sacrifice Delta,PSV,2014,Sony Computer Entertainment
NASCAR 2011: The Game,Wii,2011,Activision
Spider-Man: Edge of Time,PS3,2011,Activision
Spirit Camera: The Cursed Memoir,3DS,2012,Nintendo
Shinobi,3DS,2011,Sega
Risen 2: Dark Waters,PS3,2012,Deep Silver
Child of Eden,PS3,2011,Ubisoft
Asphalt: Injection,PSV,2011,Ubisoft
