Name,Platform,Year_of_Release,Publisher
Pro Evolution Soccer 2012,X360,2011,Konami Digital Entertainment
Unit 13,PSV,2012,Sony Computer Entertainment
R.U.S.E.,PS3,2010,Ubisoft
Theatrhythm: Final Fantasy,3DS,2012,Square Enix
Goldeneye 007: Reloaded,X360,2011,Activision
Major League Baseball 2K12,X360,2012,Take-Two Interactive
Ridge Racer 3D,3DS,2011,Namco Bandai Games
Super Monkey Ball 3D,3DS,2011,Sega
F1 2012,X360,2012,Codemasters
Bleach: Soul Resurreccion,PS3,2011,Nippon Ichi Software
Sonic Lost World,3DS,2013,Sega
Ace Combat: Assault Horizon,X360,2011,Namco Bandai Games
Resident Evil: The Mercenaries 3D,3DS,2011,Capcom
Pokemon Art Academy ,3DS,2014,Nintendo
Asphalt 3D,3DS,2011,Ubisoft
Steel Diver,3DS,2011,Nintendo
Bravely Second: End Layer,3DS,2015,Nintendo
Skylanders: SuperChargers,WiiU,2015,Activision
MotorStorm: Apocalypse,PS3,2011,Sony Computer Entertainment
Plants vs. Zombies: Garden Warfare 2,XOne,2016,Electronic Arts
Mario Golf: World Tour,3DS,2014,Nintendo
Lollipop Chainsaw,X360,2012,Warner Bros. Interactive Entertainment
Metal Gear Rising: Revengeance,X360,2013,Konami Digital Entertainment
Fortune Street,Wii,2011,Nintendo
Doom 3 BFG Edition,X360,2012,Bethesda Softworks
James Bond 007: Blood Stone,X360,2010,Activision
Street Fighter X Tekken,X360,2012,Capcom
FIFA Soccer 13,WiiU,2012,Electronic Arts
FlingSmash,Wii,2010,Nintendo
Rise of Nightmares,X360,2011,Sega
Art Academy: Lessons for Everyone,3DS,2012,Nintendo
2010 FIFA World Cup South Africa,PSP,2010,Electronic Arts
Two Worlds II,PS3,2011,Unknown
MX vs. ATV: Alive,PS3,2011,THQ
