Name,Platform,Year_of_Release,Publisher
Hatsune Miku: Project Diva f,PS3,2013,Sega
LEGO The Lord of the Rings,PSV,2012,Warner Bros. Interactive Entertainment
Fable: The Journey,X360,2012,Microsoft Game Studios
Operation Flashpoint: Red River,X360,2011,Codemasters
Transformers: Dark of the Moon,X360,2011,Activision
Dead to Rights: Retribution,PS3,2010,Namco Bandai Games
El Shaddai: Ascension of the Metatron,PS3,2011,Ignition Entertainment
Tony Hawk: Shred,PS3,2010,Activision
NES Remix,WiiU,2014,Nintendo
Monopoly Streets,X360,2010,Electronic Arts
Medieval Moves: Deadmund's Quest,PS3,2011,Sony Computer Entertainment
Rugby World Cup 2011,X360,2011,505 Games
Angry Birds Star Wars,X360,2013,Activision
One Piece: Unlimited World Red,PS3,2014,Namco Bandai Games
Patapon 3,PSP,2011,Sony Computer Entertainment
GRID 2,X360,2013,Codemasters
Need for Speed: The Run,Wii,2011,Electronic Arts
Iron Man 2,X360,2010,Sega
Sing Party,WiiU,2012,Nintendo
Rory McIlroy PGA Tour,XOne,2015,Electronic Arts
LEGO The Hobbit,XOne,2014,Warner Bros. Interactive Entertainment
Lightning Returns: Final Fantasy XIII,X360,2013,Square Enix
Transformers: Cybertron Adventures,Wii,2010,Activision
NHL 2K11,Wii,2010,Take-Two Interactive
Batman: Arkham Origins Blackgate,3DS,2013,Warner Bros. Interactive Entertainment
Ultimate NES Remix,3DS,2014,Unknown
R.U.S.E.,X360,2010,Ubisoft
MotionSports: Adrenaline,X360,2011,Ubisoft
Call of Juarez: The Cartel,X360,2011,Ubisoft
Family Guy: Back to the Multiverse,PS3,2012,Activision
Plants vs. Zombies,X360,2010,PopCap Games
America's Test Kitchen: Let's Get Cooking,DS,2010,Nintendo
Dragon Ball Z: Tenkaichi Tag Team,PSP,2010,Namco Bandai Games
Etrian Odyssey Untold: The Millennium Girl,3DS,2013,Atlus
