Name,Platform,Year_of_Release,Publisher
Army Corps of Hell,PSV,2011,Square Enix
Jimmie Johnson's Anything With an Engine,X360,2011,Konami Digital Entertainment
Digimon All-Star Rumble,PS3,2014,Namco Bandai Games
Driver: Renegade,3DS,2011,Ubisoft
Yaiba: Ninja Gaiden Z,PS3,2014,Tecmo Koei
Castlevania: Lords of Shadow 2,X360,2014,Konami Digital Entertainment
Michael Jackson: The Experience,PSV,2011,Ubisoft
JASF: Jane's Advanced Strike Fighters,X360,2011,Deep Silver
Disgaea Infinite,PSP,2010,Nippon Ichi Software
Phantom Brave: The Hermuda Triangle,PSP,2010,Nippon Ichi Software
Pokemon Rumble World,3DS,2015,Nintendo
Last Rebellion,PS3,2010,Nippon Ichi Software
Quantum Theory,X360,2010,Tecmo Koei
Mahjong Cub3D,3DS,2011,Sunsoft
Blazblue: Continuum Shift Extend,PS3,2011,PQube
GRID Autosport,X360,2014,Codemasters
Knights in the Nightmare,PSP,2010,Atlus
Terraria,3DS,2016,505 Games
Spider-Man: Edge of Time,Wii,2011,Activision
Rock Band 3,DS,2010,MTV Games
BIT.TRIP COMPLETE,Wii,2011,Rising Star Games
Data East Arcade Classics,Wii,2010,Majesco Entertainment
The Smurfs 2,WiiU,2013,Ubisoft
Puss in Boots,PS3,2011,THQ
Gray Matter,PC,2011,DTP Entertainment
Nano Assault,3DS,2011,Majesco Entertainment
Captain America: Super Soldier,3DS,2011,Sega
How to Train Your Dragon 2,WiiU,2014,Little Orbit
Bejeweled 3,PC,2010,PopCap Games
Invizimals: The Alliance,PSV,2013,Sony Computer Entertainment
Knights Contract,PS3,2011,Namco Bandai Games
Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Little Orbit
Risen 3: Titan Lords,PS3,2014,Deep Silver
Persona 4: Arena Ultimax,X360,2014,Atlus
